Open,Adj Close,Volume,Company,Direction,,,Open,Adj Close,Volume,Company
12.786,12.862,4592500,1,0,,,0.367652951,6.486896367,1.573181337,1
13.52,13.616,3133500,1,0,,,0.75356879,7.240896367,0.671613567,1
13.232,13.28,8956500,1,0,,,0.602146771,6.904896367,4.269851485,1
13.46,13.73,5314000,1,0,,,0.722022536,7.354896367,2.019021738,1
13.56,13.508,4732500,1,0,,,0.774599626,7.132896367,1.659692295,1
13.42,13.448,3985000,1,0,,,0.7009917,7.072896367,1.197785573,1
13.446,13.474,3435000,1,0,,,0.714661744,7.098896367,0.857921095,1
13.844,14.1,12259500,1,0,,,0.923918561,7.724896367,6.310892158,1
14.1,14.016,12019500,1,0,,,1.058515911,7.640896367,6.162587658,1
14.23,14.02,19199500,1,0,,,1.126866128,7.644896367,10.59936393,1
14.024,14.136,3591000,1,0,,,1.018557323,7.760896367,0.954319019,1
13.294,13.352,3520000,1,0,,,0.634744567,6.976896367,0.910445605,1
13.726,13.926,5317000,1,0,,,0.861877595,7.550896367,2.020875544,1
13.932,13.778,2032000,1,0,,,0.9701864,7.402896367,-0.009042291,1
13.978,13.998,998000,1,0,,,0.994371862,7.622896367,-0.64798751,1
14.036,14.07,2050000,1,0,,,1.024866574,7.694896367,0.002080546,1
14.188,14.276,2821500,1,0,,,1.10478375,7.900896367,0.478817718,1
14.23,14.288,2782000,1,0,,,1.126866128,7.912896367,0.454409269,1
14.132,14.104,1083500,1,0,,,1.07534058,7.728896367,-0.595154032,1
14.554,14.412,2717000,1,0,,,1.297215899,8.036896367,0.414243467,1
14.258,14.27,967000,1,0,,,1.141587713,7.894896367,-0.667143508,1
14.396,14.3,660000,1,0,,,1.214144097,7.924896367,-0.85684968,1
14.322,14.196,1632500,1,0,,,1.175237051,7.820896367,-0.255907489,1
14,14.04,1941500,1,0,,,1.005938821,7.664896367,-0.064965446,1
13.976,14.068,956000,1,0,,,0.99332032,7.692896367,-0.673940797,1
14.156,14.12,901000,1,0,,,1.087959081,7.744896367,-0.707927245,1
14.306,14.328,827500,1,0,,,1.166824716,7.952896367,-0.753345498,1
14.124,14.18,1295000,1,0,,,1.071134413,7.804896367,-0.464460692,1
14.232,14.26,639000,1,0,,,1.12791767,7.884896367,-0.869826323,1
13.886,13.892,2979000,1,0,,,0.946000939,7.516896367,0.576142546,1
13.404,13.56,2339000,1,0,,,0.692579366,7.184896367,0.180663881,1
13.622,13.536,1577500,1,0,,,0.807197422,7.160896367,-0.289893937,1
13.66,13.712,1206000,1,0,,,0.827176716,7.336896367,-0.519456944,1
13.756,13.77,1112000,1,0,,,0.877650722,7.394896367,-0.577542873,1
13.748,13.756,823000,1,0,,,0.873444555,7.380896367,-0.756126207,1
14.154,14.05,1083000,1,0,,,1.08690754,7.674896367,-0.595463,1
14.176,14.084,1290000,1,0,,,1.098474499,7.708896367,-0.467550369,1
13.92,14.054,1849000,1,0,,,0.963877149,7.678896367,-0.122124472,1
13.8,13.832,1449000,1,0,,,0.900784642,7.456896367,-0.369298638,1
13.766,13.77,1217000,1,0,,,0.882908431,7.394896367,-0.512659654,1
13.774,13.742,957500,1,0,,,0.887114598,7.366896367,-0.673013894,1
13.682,13.588,1490500,1,0,,,0.838743676,7.212896367,-0.343654318,1
13.422,13.42,1000500,1,0,,,0.702043242,7.044896367,-0.646442671,1
13.46,13.398,1106500,1,0,,,0.722022536,7.022896367,-0.580941517,1
13.134,13.12,1232000,1,0,,,0.550621223,6.744896367,-0.503390623,1
13.1,13.092,1233000,1,0,,,0.532745013,6.716896367,-0.502772687,1
13.816,13.67,1828500,1,0,,,0.909196976,7.294896367,-0.134792148,1
13.61,13.61,1809500,1,0,,,0.800888171,7.234896367,-0.146532921,1
13.89,13.908,1216500,1,0,,,0.948104023,7.532896367,-0.512968622,1
13.826,13.546,1607500,1,0,,,0.914454685,7.170896367,-0.271355875,1
13.676,13.746,1256500,1,0,,,0.83558905,7.370896367,-0.488251205,1
13.604,14.008,1376500,1,0,,,0.797733546,7.632896367,-0.414098955,1
13.808,13.696,2342000,1,0,,,0.904990809,7.320896367,0.182517687,1
14.352,14.54,5318500,1,0,,,1.191010178,8.164896367,2.021802448,1
14.056,14.132,4480000,1,0,,,1.035381992,7.756896367,1.503663603,1
13.5,13.26,9566000,1,0,,,0.743053372,6.884896367,4.64648312,1
12.916,12.882,7802000,1,0,,,0.436003168,6.506896367,3.556445049,1
12.418,12.658,5100000,1,0,,,0.17416926,6.282896367,1.88678356,1
12.844,12.868,3596000,1,0,,,0.398147663,6.492896367,0.957408696,1
13.142,13.106,2448500,1,0,,,0.554827391,6.730896367,0.248327809,1
12.796,12.788,4822500,1,0,,,0.37291066,6.412896367,1.715306482,1
12.596,12.83,7738000,1,0,,,0.26775648,6.454896367,3.516897182,1
12.88,12.89,3869500,1,0,,,0.417075415,6.514896367,1.126414032,1
13.23,13.364,7824000,1,0,,,0.60109523,6.988896367,3.570039628,1
13.378,13.264,2686500,1,0,,,0.678909323,6.888896367,0.395396437,1
13.4,13.268,3810500,1,0,,,0.690476282,6.892896367,1.089955843,1
13.256,13.164,2838000,1,0,,,0.614765273,6.788896367,0.489013652,1
13.3,13.32,4233500,1,0,,,0.637899192,6.944896367,1.351342523,1
13.92,14,1880000,1,0,,,0.963877149,7.624896367,-0.102968474,1
14.532,14.19,3502500,1,0,,,1.285648939,7.814896367,0.899631735,1
13.722,13.768,2735000,1,0,,,0.859774512,7.392896367,0.425366305,1
13.756,13.676,1205500,1,0,,,0.877650722,7.300896367,-0.519765911,1
13.55,13.566,1832000,1,0,,,0.769341917,7.190896367,-0.132629374,1
13.67,13.68,1725500,1,0,,,0.832434425,7.304896367,-0.198439496,1
14.048,13.842,1200500,1,0,,,1.031175824,7.466896367,-0.522855588,1
14.038,14.134,1681500,1,0,,,1.025918115,7.758896367,-0.225628654,1
14.358,14.022,1371000,1,0,,,1.194164803,7.646896367,-0.4174976,1
14.022,14.23,2194000,1,0,,,1.017505781,7.854896367,0.091063246,1
14.538,14.558,1705000,1,0,,,1.288803565,8.182896367,-0.211107172,1
15.14,15.05,2588500,1,0,,,1.605317645,8.674896367,0.334838767,1
15.12,14.842,1788500,1,0,,,1.594802227,8.466896367,-0.159509565,1
15.224,15.334,1450500,1,0,,,1.649482401,8.958896367,-0.368371735,1
16.309999,16.43,3686000,1,0,,,2.220469071,10.05489637,1.013022884,1
16.278,16.167999,1436500,1,0,,,2.203644928,9.792895367,-0.377022831,1
15.462,15.786,2289500,1,0,,,1.774615875,9.410896367,0.150076078,1
15.542,15.53,2147000,1,0,,,1.816677547,9.154896367,0.062020281,1
15.5,15.628,1051500,1,0,,,1.794595169,9.252896367,-0.614927965,1
15.632,15.716,824500,1,0,,,1.863996927,9.340896367,-0.755199304,1
15.9,16.049999,3834500,1,0,,,2.004903528,9.674895367,1.104786293,1
15.976,15.932,2110000,1,0,,,2.044862116,9.556896367,0.039156671,1
16,16.143999,1695500,1,0,,,2.057480618,9.768895367,-0.216977558,1
16.212,16.104,976000,1,0,,,2.168944048,9.728896367,-0.661582089,1
15.96,15.74,3369000,1,0,,,2.036449782,9.364896367,0.817137357,1
15.908,16.176001,1448500,1,0,,,2.009109695,9.800897367,-0.369607606,1
15.872,15.738,1900000,1,0,,,1.990181943,9.362896367,-0.090609766,1
15.806,15.802,2363000,1,0,,,1.955481064,9.426896367,0.195494331,1
15.91,16.01,2465000,1,0,,,2.010161237,9.634896367,0.258523743,1
15.716,15.858,1436000,1,0,,,1.908161683,9.482896367,-0.377331798,1
16.098,16.062,1507500,1,0,,,2.109006166,9.686896367,-0.333149416,1
15.992,15.834,1996500,1,0,,,2.053274451,9.458896367,-0.030978999,1
15.848,15.842,1413500,1,0,,,1.977563441,9.466896367,-0.391235345,1
15.9,15.75,1855500,1,0,,,2.004903528,9.374896367,-0.118107892,1
15.956,15.89,1659000,1,0,,,2.034346698,9.514896367,-0.239532201,1
15.794,15.78,1774000,1,0,,,1.949171813,9.404896367,-0.168469628,1
15.162,15.238,3631000,1,0,,,1.616884605,8.862896367,0.979036436,1
15.366,15.498,2515500,1,0,,,1.724141868,9.122896367,0.289729481,1
15.248,15.2,5881500,1,0,,,1.662100902,8.824896367,2.369700086,1
15.036,15.06,3349000,1,0,,,1.550637472,8.684896367,0.804778649,1
15.124,14.856,2362500,1,0,,,1.596905311,8.480896367,0.195185363,1
14.8,14.976,1819000,1,0,,,1.42655554,8.600896367,-0.140662535,1
14.842,14.454,2473500,1,0,,,1.448637918,8.078896367,0.263776194,1
15.21,15.48,3334500,1,0,,,1.642121608,9.104896367,0.795818586,1
14.942,15.092,8896000,1,0,,,1.501215008,8.716896367,4.232466392,1
14.984,14.8,3886000,1,0,,,1.523297385,8.424896367,1.136609967,1
14.68,14.626,2256000,1,0,,,1.363463032,8.250896367,0.129375241,1
14.98,15.042,1539000,1,0,,,1.521194302,8.666896367,-0.313684451,1
15.2,15.1,1826500,1,0,,,1.636863899,8.724896367,-0.136028019,1
