Date,NTDOY,SONY,MSFT,ATVI,EA,TTWO,NCBDY,CCOEY,TCEHY,SQNXF
2020-10-05,2339000,846200,21331600,5561100,1270100,853600,634000,634000,1506200,0
2020-10-06,0,0,0,0,0,0,741900,741900,3583300,0
2020-10-07,1206000,0,25681100,0,0,0,714200,714200,3890000,0
2020-10-08,1112000,744900,19925800,0,0,0,586500,586500,2187000,0
2020-10-09,823000,755700,26458000,5433200,1991700,611900,0,0,2119400,0
2020-10-12,0,770900,40461400,6724600,2106600,1784900,387400,387400,3195100,0
2020-10-13,0,0,28950800,5270300,2117300,1368900,360200,360200,3768600,0
2020-10-14,1849000,0,0,0,0,0,0,0,0,1000
2020-10-15,1449000,0,22733100,0,1900100,881400,460500,460500,1904000,0
2020-10-16,1217000,0,0,0,0,0,0,0,3445100,0
2020-10-19,0,0,0,0,0,0,0,0,0,0
2020-10-20,0,1215800,0,0,0,0,0,0,2161300,300
2020-10-21,0,0,22724900,5305100,0,0,0,0,2154500,0
2020-10-22,0,0,22351500,0,0,0,0,0,0,500
2020-10-23,0,751200,18879600,4303400,0,646200,0,0,1593600,200
2020-10-26,0,842500,0,0,2166000,830000,445500,445500,2334000,0
2020-10-27,0,1467300,36700300,0,0,722200,522400,522400,3302900,0
2020-10-28,1809500,0,0,0,0,0,630800,630800,0,100
2020-10-29,1216500,0,31432600,0,0,0,0,0,3842000,1000
2020-10-30,0,1479300,0,0,0,0,0,0,0,0
2020-11-02,1256500,2077700,0,0,0,0,835000,835000,0,0
2020-11-03,1376500,1059400,27512000,0,0,1163300,0,0,0,900
2020-11-04,0,1039200,42311800,8632900,2594800,1301300,0,0,5321500,0
2020-11-05,5318500,1823300,36080100,0,0,2131000,790200,790200,0,200
2020-11-06,4480000,1394500,25231900,0,0,3182000,912800,912800,0,0
2020-11-09,0,0,0,13716600,7097200,0,1373300,1373300,0,1100
2020-11-10,0,0,0,8658900,4454200,0,0,0,0,0
2020-11-11,5100000,1347400,29440800,5511000,0,1534700,1464000,1464000,6282600,0
2020-11-12,3596000,0,0,0,0,0,1017400,1017400,0,400
2020-11-13,0,1094900,18621100,5594600,2110900,1148600,0,0,0,0
2020-11-16,0,0,24953300,7877000,0,1047000,1002500,1002500,0,0
2020-11-17,7738000,0,0,0,0,0,0,0,0,0
2020-11-18,3869500,0,0,0,0,0,772200,772200,0,0
2020-11-19,7824000,0,24792700,8750700,2839200,1688300,1034600,1034600,3049200,0
2020-11-20,0,623900,0,6730400,3186800,1455300,602000,602000,2661300,100
