Date,NTDOY,SONY,MSFT,ATVI,EA,TTWO,NCBDY,CCOEY,TCEHY,SQNXF,1,2,3,4,5,6,7,8,9,10
2020-05-19,0,0,0,0,0,0,0,0,0,0,1861500.0,0.0,0.0,5509700.0,0.0,2517900.0,3227000.0,907800.0,907800.0,100.0
2020-05-20,0,0,0,0,0,0,0,0,0,0,1361500.0,0.0,31261300.0,6231100.0,0.0,3530400.0,7065900.0,968600.0,968600.0,200.0
2020-05-21,0,0,0,0,0,0,0,0,0,0,1104500.0,0.0,0.0,0.0,5413200.0,0.0,0.0,0.0,0.0,0.0
2020-05-22,0,0,0,0,0,0,0,0,0,0,1383000.0,848700.0,20826900.0,5161400.0,0.0,2287300.0,2233800.0,0.0,0.0,700.0
2020-05-25,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-26,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021600.0,1021600.0,0.0
2020-05-27,0,0,0,0,0,0,0,0,0,0,0.0,1524600.0,39517100.0,13218600.0,0.0,4978700.0,5231800.0,0.0,0.0,700.0
2020-05-28,0,0,0,0,0,0,0,0,0,0,1967500.0,1606900.0,33810200.0,7899000.0,0.0,4752400.0,2346900.0,870600.0,870600.0,0.0
2020-05-29,0,0,0,0,0,0,0,0,0,0,2201500.0,1176800.0,42130400.0,11408600.0,6098200.0,4571900.0,4593600.0,0.0,0.0,14500.0
2020-06-01,0,0,0,0,0,0,0,0,0,0,1049500.0,1423600.0,22622400.0,4930700.0,2425100.0,0.0,1932800.0,0.0,0.0,0.0
2020-06-02,0,0,0,0,0,0,0,0,0,0,0.0,1420600.0,30794600.0,6518500.0,4676700.0,0.0,0.0,762900.0,762900.0,0.0
2020-06-03,0,0,0,0,0,0,0,0,0,0,2258000.0,2723200.0,27311000.0,0.0,3266900.0,0.0,0.0,1226700.0,1226700.0,1300.0
2020-06-04,0,0,0,0,0,0,0,0,0,0,1999000.0,0.0,0.0,7630000.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-05,0,0,0,0,0,0,0,0,0,0,0.0,1274500.0,39893600.0,8620300.0,0.0,3355300.0,3318000.0,918400.0,918400.0,0.0
2020-06-08,0,0,0,0,0,0,0,0,0,0,2117500.0,1392600.0,33211600.0,6941400.0,4141200.0,3500100.0,2954800.0,0.0,0.0,700.0
2020-06-09,0,0,0,0,0,0,0,0,0,0,1021500.0,986700.0,29783900.0,6245200.0,2140700.0,2346000.0,0.0,0.0,0.0,0.0
2020-06-10,0,0,0,0,0,0,0,0,0,0,0.0,1863300.0,43872300.0,9106800.0,3594600.0,3956100.0,2133100.0,0.0,0.0,2700.0
2020-06-11,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,804100.0,804100.0,0.0
2020-06-12,0,0,0,0,0,0,0,0,0,0,1176500.0,0.0,0.0,5921400.0,0.0,0.0,0.0,0.0,0.0,100.0
2020-06-15,0,0,0,0,0,0,0,0,0,0,0.0,1640100.0,32770200.0,6492100.0,2104300.0,3882600.0,2109400.0,0.0,0.0,1300.0
2020-06-16,0,0,0,0,0,0,0,0,0,0,1328000.0,0.0,42556700.0,0.0,0.0,0.0,0.0,1098400.0,1098400.0,100.0
2020-06-17,0,0,0,0,0,0,0,0,0,0,1711000.0,1375300.0,0.0,12763600.0,2587600.0,2173300.0,2006800.0,0.0,0.0,600.0
2020-06-18,0,0,0,0,0,0,0,0,0,0,1470500.0,0.0,23061600.0,7270400.0,2364300.0,2461100.0,1108100.0,0.0,0.0,500.0
2020-06-19,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,10388500.0,0.0,0.0,2896700.0,0.0,0.0,0.0
2020-06-22,0,0,0,0,0,0,0,0,0,0,0.0,605900.0,32818900.0,0.0,7277000.0,0.0,0.0,0.0,0.0,0.0
2020-06-23,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1283000.0,815100.0,815100.0,0.0
2020-06-24,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2208900.0,0.0,0.0,0.0,0.0
2020-06-25,0,0,0,0,0,0,0,0,0,0,0.0,682300.0,27803900.0,0.0,3143200.0,0.0,0.0,802100.0,802100.0,0.0
2020-06-26,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4905100.0,3061300.0,754300.0,754300.0,0.0
2020-06-29,0,0,0,0,0,0,0,0,0,0,0.0,0.0,26701600.0,0.0,2531000.0,0.0,0.0,0.0,0.0,500.0
2020-06-30,0,0,0,0,0,0,0,0,0,0,541500.0,736700.0,34310300.0,6535400.0,0.0,0.0,3111500.0,0.0,0.0,0.0
2020-07-01,0,0,0,0,0,0,0,0,0,0,682000.0,1549700.0,32061200.0,10187400.0,2695800.0,3026300.0,2025400.0,626100.0,626100.0,300.0
